ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
147;Formada em direito, com uma família e moranto em uma boa casa,                                                                                                                                                  ;2;3;5;2;2;2;1;;9;3,19;4,29;3,85
148;Por enquanto não penso muito no meu futuro                                                                                                                                                                      ;1;2;3;2;2;2;2;14;9;3,2;3,02;2,67
149;Muito boa pretendo da um vida muito boa pro meus pais                                                                                                                                                           ;1;5;3;2;1;1;1;14;7;3,21;1,64;0,98
150;Rico, com uma família e sendo engenheiro                                                                                                                                                                        ;1;4;4;2;2;2;2;12;7;3,21;1,74;1,6
151;com uam vida finceira boa, trabalhando e casada com 2 ou 3 filhos                                                                                                                                             ;1;3;3;2;2;2;1;13;8;3,21;2,03;2,01
152;casada com dois filhos, formada, casa própria, carro,,,                                                                                                                                                         ;1;4;3;2;2;2;1;13;8;3,21;3,01;1,54
153;;1;5;3;2;1;1;2;12;6;3,22;1,43;1,79
154;Uma vida boa e feliz                                                                                                                                                                                            ;1;5;2;2;1;2;1;11;7;3,22;2,24;1,64
155;Eu imagino minha vida no futuro com eu sendo presidente ou delegado ou astrônomo e com filhos                                                                                                                   ;1;4;4;3;1;1;2;11;6;3,22;2,57;1,68
156;Ser grande respeitado e conhecido por todos E claro dinheiro e mulher                                                                                                                                         ;1;3;3;2;1;1;2;14;9;3,22;3,79;1,74
157;Carros flutuantes um bom emprego                                                                                                                                                                                ;1;3;1;2;2;1;2;14;7;3,22;3,94;1,92
158;Ainda não imagino ela, mais espero que eu me forme, e tenha um bom trabalho,                                                                                                                                    ;4;3;4;1;2;1;1;14;7;3,22;4,95;2,04
159;eu vou ser adulto                                                                                                                                                                                               ;1;1;3;2;2;2;2;14;9;3,23;1,78;4,18
160;Legal                                                                                                                                                                                                           ;2;3;4;2;2;1;1;12;7;3,23;3,22;1,01
161;Eu quero forma e trabalhar agum dia                                                                                                                                                                             ;4;3;4;2;2;1;2;13;7;3,24;1,45;1,04
162;Sinceramente, eu me imagino como mulher rica de preferencia, poderosa, com um marido que seja jogador de futebol e duas filhas,                                                                                 ;1;4;3;2;2;2;1;14;9;3,24;2,54;2,37
163;Eu só imagino a o que vai acontecer, só fico ansiosa se vai dar tudo ou não                                                                                                                                     ;2;5;4;1;1;1;1;13;7;3,24;3;3,14
164;Eu formada sendo professora cuidando da minha familia e tendo um bom trabalho                                                                                                                                   ;2;2;4;2;1;1;1;12;6;3,24;3,25;1
165;eu ainda não pensei muito nisso, Mas eu quero fazer uma faculdade, trabalhar, cuidar dos meus pais                                                                                                              ;2;3;4;2;1;1;1;13;8;3,24;4,44;1,51
166;                                                                                                                                                                                                                ;1;3;3;2;2;2;2;14;7;3,25;3,27;1,71
167;me imagino formando em psicologia e artes cênicas, fazendo shows pelo mundo e atuando, casado com filhos e morando em los angeles                                                                               ;2;3;2;2;2;1;1;13;8;3,25;3,49;1,94
168;                                                                                                                                                                                                                ;2;2;3;2;2;2;2;;9;3,25;3,72;3,42
169;Eu quero ser psicóloga então imagino que no futuro eu vou conseguir ser                                                                                                                                         ;2;2;3;3;1;1;1;13;7;3,25;5,06;4,51
170;                                                                                                                                                                                                                ;3;4;4;3;2;1;2;;9;3,26;2,09;1,95
