"ID";"Futuro";"Faltas";"Dever";"Gosta_escola";"Notas";"Alcool_vida";"Inalante_vida";"Sexo";"Idade";"Ano_escolar";"Autoeficacia";"Intromissao";"Antisocial";"Num_char_futuro";"Futuro2"
237;"eu imagino termir os meus estudos e ser juíza,                                                                                                                                                                ";.;4;4;2;"Não1";"Não1";1;12;7;"3,48";"1,46";"1,21";206;"EU IMAGINO TERM"
238;"Sem doenças; bem estudado; vida finceira boa e tudo que a de bom no mundo, e que todos me respeite, e que eu respeite eles,                                                                                   ";.;3;3;2;"Não2";"Não1";2;14;9;"3,49";"4,5";"2,15";206;"SEM DOENÇAS; BE"
239;"Uma pessoa bem sucedida morando em um apartamento lindo e bem decorado,                                                                                                                                         ";.;3;3;2;"Não2";"Não2";1;14;9;"3,5";"2,3";"2,63";208;"UMA PESSOA BEM "
240;"                                                                                                                                                                                                                ";.;3;3;2;"Não2";"Não1";1;.;9;"3,5";"2,34";"3,01";208;"               "
241;"Uma vida legal ganhando bem e formada em medici, cardiologista pediatra                                                                                                                                       ";.;3;2;1;"Não2";"Não1";1;12;7;"3,5";"3,95";"2,32";206;"UMA VIDA LEGAL "
242;"xirugião                                                                                                                                                                                                        ";.;2;2;2;"Não2";"Não2";1;13;6;"3,51";"3,5";"1,24";208;"XIRUGIÃO       "
243;"Imagino uma vida boa, um emprego baca e que eu goste de verdade, uma família grande e o mais importante ser feliz,                                                                                            ";.;4;4;3;"Não1";"Não1";1;14;9;"3,52";"3,95";"3,68";206;"IMAGINO UMA VID"
244;"Eu imagino com meu trabalho, com minha casa e minha família                                                                                                                                                     ";.;4;2;2;"Não2";"Não1";1;14;7;"3,53";"1,41";"1,88";208;"EU IMAGINO COM "
245;"Eu ainda não sei                                                                                                                                                                                                ";.;5;4;3;"Não2";"Não1";1;12;7;"3,53";"2,18";"2,31";208;"EU AINDA NÃO SE"
246;"Ou jogador do futebol ganhando muito dinheiro fama e etc, Ou formado em TI com bom carro, boas condições, familia, viagems e etc                                                                                ";.;3;3;3;"Não1";"Não1";2;.;9;"3,53";"2,31";"2,17";208;"OU JOGADOR DO F"
247;"Me imagino com minha familia, formada e bem rica e com meu emprego,                                                                                                                                             ";.;2;4;2;"Não2";"Não1";1;14;8;"3,53";"2,44";"1,43";208;"ME IMAGINO COM "
248;"Em um apartamento em alguma cidade que neve, com meus 3 cachorros e muito milhonária                                                                                                                            ";.;4;3;2;"Não2";"Não2";1;13;8;"3,53";"2,97";"2,29";208;"EM UM APARTAMEN"
249;"eu me imagino muito gostosa milhonária, Provando pra essas gentinha que me chamou de feia eu fiquei gostosa                                                                                                     ";.;2;3;1;"Não2";"Não1";1;14;8;"3,54";"1,09";"1,88";208;"EU ME IMAGINO M"
250;"Imagino formada fazendo meu intercâmbio com minha e trabalhando pra ganha meu dinheiro                                                                                                                          ";.;3;4;2;"Não2";"Não2";1;12;8;"3,54";"2,95";"1,67";208;"IMAGINO FORMADA"
251;"Eu imagino está formado em engenharia                                                                                                                                                                           ";.;4;4;2;"Não1";"Não1";2;.;9;"3,54";"3,16";"1,81";208;"EU IMAGINO ESTÁ"
252;"imagino se eu estudar ser uma grande medica                                                                                                                                                                     ";.;4;4;2;"Não2";"Não1";1;11;6;"3,54";"3,69";"1,44";208;"IMAGINO SE EU E"
253;"Não sei porque eu não prevejo o futuro mais se eu imagino ser uma médica particular                                                                                                                             ";.;2;4;2;"Não1";"Não2";1;12;7;"3,55";"1,76";"1,27";208;"NÃO SEI PORQUE "
254;"Não sei                                                                                                                                                                                                         ";.;4;3;1;"Não2";"Não1";1;13;8;"3,55";"2,42";"1,42";208;"NÃO SEI        "
255;"eu me imagino com minha família me imagino com um bom emprego                                                                                                                                                   ";.;4;3;1;"Não1";"Não1";2;14;8;"3,56";"1,82";"1,35";208;"EU ME IMAGINO C"
256;"Médico(a) bem de vidaem uma boa casa uma pessoa boa e tranquila com uma família                                                                                                                                 ";.;5;4;2;"Não1";"Não1";1;11;6;"3,56";"2,35";"1,16";208;"MÉDICO(A) BEM D"
257;"Eu sendo bombeiro ou Policial                                                                                                                                                                                   ";.;3;2;2;"Não2";"Não2";1;13;7;"3,56";"4,03";"3,56";208;"EU SENDO BOMBEI"
258;"Imagino com um emprego, uma casa,filhos, um cachorro,eu com um bom emprego, um marido                                                                                                                           ";.;5;3;2;"Não2";"Não2";1;12;7;"3,57";"1,51";"2,13";208;"IMAGINO COM UM "
259;"Ser uma policial ou advogada                                                                                                                                                                                    ";.;3;4;1;"Não1";"Não1";1;12;7;"3,57";"1,74";"1,03";208;"SER UMA POLICIA"
260;"delegada de policia civil, com 3 filhos e um marido gato                                                                                                                                                        ";.;4;3;1;"Não2";"Não1";1;13;8;"3,57";"3,74";"2,2";208;"DELEGADA DE POL"
261;"Boa, tipo com os estudos termidos com facodade e trabalho e uma familia,                                                                                                                                      ";.;4;4;2;"Não2";"Não1";1;11;6;"3,58";"0,96";"1,21";206;"BOA, TIPO COM O"
262;"rica, casada, com filhos, trabalhando com uma vida Bem melhor,                                                                                                                                                  ";.;2;5;1;"Não2";"Não2";1;13;8;"3,58";"2,02";"2,34";208;"RICA, CASADA, C"
263;"Com um bom trabalho passada nos estudos e tudo certo com minha familia,                                                                                                                                         ";.;4;3;2;"Não2";"Não1";1;.;9;"3,58";"2,49";"1,17";208;"COM UM BOM TRAB"
